source	target	strength
T00105	R00138	0.98
T00105	R03657	0.98
T00105	R26345	0.98
T00105	R26349	0.98
T00105	R56779	0.98
T00105	R40724	0.98
T00105	R29444	0.98
T00105	R27098	0.98
T00105	R40250	0.98
T00105	R27443	0.98
T00105	R32639	0.98
T00105	R30671	0.98
T00105	R38277	0.98
T00105	R35639	0.98
T00105	R35640	0.98
T00105	R23954	0.98
T00105	R23529	0.98
T00105	R23530	0.98
T00105	R21124	0.98
T00105	R32730	0.98
T00105	R31151	0.98
T00105	R31147	0.98
T00105	R33581	0.98
T00105	R38275	0.98
T00105	R36411	0.98
T00105	R08081	0.98
T00105	R57171	0.98
T00105	R60551	0.98
T00105	R00422	0.98
T00105	R34906	0.98
T00105	R62159	0.98
T00105	R29896	0.98
T00105	R26690	0.98
T00105	R20520	0.98
T00105	R62853	0.98
T00105	R32327	0.98
T00105	R00627	0.98
T00105	R35570	0.98
T00105	R36307	0.98
T00105	R34962	0.98
T00105	R63686	0.98
T00105	R42314	0.98
T00105	R08087	0.98
T00105	R38423	0.98
T00105	R38292	0.98
T00105	R14528	0.98
T00105	R14529	0.98
T00105	R14533	0.98
T00105	R67223	0.98
T00105	R21789	0.98
T00105	R38180	0.98
T00105	R21707	0.98
T00105	R20524	0.98
T00105	R59332	0.98
T00105	R59333	0.98
T00105	R59334	0.98
T00105	R39786	0.98
T00105	R39787	0.98
T00105	R31180	0.98
T00105	R08091	0.98
T00105	R08092	0.98
T00105	R59157	0.98
T00105	R21802	0.98
T00105	R15892	0.98
T00105	R23085	0.98
T00105	R30770	0.98
T00105	R27058	0.98
T00105	R42260	0.98
T00105	R42264	0.98
T00105	R01456	0.98
T00105	R25207	0.98
T00105	R62138	0.98
T00105	R67817	0.98
T00105	R33202	0.98
T00105	R00089	0.98
T00105	R26163	0.98
T00105	R26164	0.98
T00105	R19750	0.98
T00105	R01185	0.98
T00105	R03730	0.98
T00105	R03732	0.98
T00105	R03733	0.98
T00112	R02153	0.98
T00112	R14429	0.98
T00112	R08269	0.98
T00112	R00604	0.98
T00112	R34568	0.98
T00112	R34576	0.98
T00112	R16924	0.98
T00112	R26368	0.98
T00112	R26369	0.98
T00112	R14537	0.98
T00112	R14800	0.98
T00112	R13246	0.98
